comment,percentco,startsta,difflike,uid,startfo,timerank,time,percentlike,startrepost,follower,percentfo,likes,startlikes,picindex,friends,statuses,repost,verified,idindex,lenindex,percentrepo,gender,diffrepo,startcomment,bi_follow,diffco,timestamp,difffo
14925,578.7126793,200,62,1797270765,5065124,24,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,517,2579,88,196,12/5/17 7:14,28
14925,578.7126793,200,63,1797270765,5065124,25,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,424,2579,88,139,12/5/17 7:24,21
14925,578.7126793,200,51,1797270765,5065124,26,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,428,2579,88,81,12/5/17 7:34,24
14925,578.7126793,200,55,1797270765,5065124,27,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,545,2579,88,67,12/5/17 7:44,29
14925,578.7126793,200,41,1797270765,5065124,28,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,546,2579,88,75,12/5/17 7:54,12
14925,578.7126793,200,41,1797270765,5065124,29,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,391,2579,88,57,12/5/17 8:04,1
14925,578.7126793,200,17,1797270765,5065124,30,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,499,2579,88,61,12/5/17 8:14,26
14925,578.7126793,200,58,1797270765,5065124,31,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,759,2579,88,70,12/5/17 8:24,20
14925,578.7126793,200,3095,1797270765,5065124,32,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,650,2579,88,68,12/5/17 8:34,11
14925,578.7126793,200,2656,1797270765,5065124,33,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,573,2579,88,79,12/5/17 8:45,-1
